username,full_text,cleaned_text
svodbka, mau pasang nomor nanti yang ngehubungin bukan kamu lagii - tar nomor pinjol lagi yg nelfon #tellonym https://t.co/Dfi0AnJDZ5,"['mau', 'pasang', 'nomor', 'yang', 'ngehubungin', 'bukan', 'kamu', 'entar', 'nomor', 'pinjam', 'online', 'yang', 'nelfon']"
rsoxana, papa kakak tau ga kakak kejebak pinjol? jawaban atas pertanyaan ini semua keluargaku gaada yang tau. aku anak terakhir dan dipandang mereka anak emas keluarga karena cuma aku yang bisa kuliah. aku ga berani buat bilang kalo anak mereka ini punya utang dengan nominal gede,"['bapak', 'kakak', 'tau', 'enggak', 'kakak', 'jebak', 'pinjam', 'online', 'jawab', 'atas', 'tanya', 'semua', 'keluarga', 'enggak', 'tau', 'aku', 'anak', 'akhir', 'pandang', 'anak', 'emas', 'keluarga', 'cuma', 'aku', 'yang', 'bisa', 'kuliah', 'aku', 'enggak', 'berani', 'buat', 'bilang', 'kalau', 'anak', 'ini', 'punya', 'utang', 'nominal', 'besar']"
tanyakanrl, sedangkan di suatu tempat nan jauh di mata namun dekat di bandung memperbolehkan bayar UKT menggunakan pinjol. https://t.co/JVxSJvzKQQ,"['suatu', 'tempat', 'nan', 'jauh', 'mata', 'dekat', 'di', 'bandung', 'boleh', 'bayar', 'uang', 'kuliah', 'tunggal', 'guna', 'pinjam', 'online']"
tanyarlfes, tmn gue akunnya dipake pinjol sm tmnnya dan dia skrg dikejar kejar pinjol. dia ngemis2 minta ditalangi buat bulan ini tapi tmn gue ini pernah pinjem di gua 400rb ga dibalikin. jujur gue udh nolak tp dia maksa trs sampe skrg https://t.co/nPsj880SO6,"['teman', 'gue', 'akun', 'pakai', 'pinjam', 'online', 'sama', 'tmnnya', 'sekarang', 'kejar', 'kejar', 'pinjam', 'online', 'dia', 'ngemis', 'minta', 'talang', 'buat', 'bulan', 'teman', 'gue', 'pernah', 'pinjam', 'aku', 'ribu', 'enggak', 'kembali', 'jujur', 'gue', 'tolak', 'tapi', 'dia', 'maksa', 'terus', 'sekarang']"
angganalyst, Udah gajaman bayar pinjol pakai uang pribadi. Bayar sama gua pakai uang ilegal. kata penjual sambil congkak. Udah mental ngutang gamau bayar pula. Ini jelas-jelas didepan mata gadiberantas nih? Ganggu perekonomian lho banyak piutang ga terbayar. https://t.co/7Sk38VlgVa,"['enggak', 'zaman', 'bayar', 'pinjam', 'online', 'pakai', 'uang', 'pribadi', 'bayar', 'sama', 'aku', 'pakai', 'uang', 'ilegal', 'kata', 'jual', 'congkak', 'mental', 'hutang', 'enggak', 'mau', 'bayar', 'ini', 'jelas', 'jelas', 'depan', 'mata', 'enggak', 'berantas', 'nih', 'ganggu', 'ekonomi', 'loh', 'banyak', 'piutang', 'enggak', 'bayar']"
Lufthansaaa1,- Verifikasi sampe 2 hari. Verifikasi pinjol aja bisa ga sampe sejam hmm. Kemaren Alhamdulillah bisa sehari. Lah kalau bisa sehari ngapain sampe 2 hari co Cetak STNK aja sampe sebulan. Ini mau cetak apa diukir di batu sii. Lama bgt. Males jdnya aku bayar pajak ke kepolisian ni,"['verifikasi', 'hari', 'verifikasi', 'pinjam', 'online', 'enggak', 'jam', 'kemarin', 'alhamdulillah', 'hari', 'lah', 'kalau', 'bisa', 'hari', 'apa', 'hari', 'cowok', 'cetak', 'sampai', 'bulan', 'mau', 'cetak', 'apa', 'ukir', 'batu', 'sih', 'lama', 'banget', 'malas', 'jdnya', 'aku', 'bayar', 'pajak', 'polisi', 'nih']"
po_heng,..gaji dipotong 3% utk iuran bpjs truz dipotong 3% lg utk tapera potongan lain2 akhirnya cm tanda tangan tanpa bawa plg uang. Ujung2nya nyari pinjol biar dapur tetap berasap,"['gaji', 'potong', 'iur', 'terus', 'potong', 'untuk', 'potong', 'akhir', 'cuma', 'tanda', 'tangan', 'bawa', 'pulang', 'uang', 'ujung', 'cari', 'pinjam', 'online', 'biar', 'dapur', 'tetap', 'asap']"
po_heng,..yg namanya nabung itu baru benar setelah dari total pendapatan dikurangi total pengeluaran msh ada sisanya. Jk besar pasak drpd tiang angin yg bisa ditabung. Jk dipaksain pd akhirnya pinjol yg diuber demi nutupi selisih. Pemerintah ngebet dorong rakyat ambil pinjol?,"['nama', 'nabung', 'baru', 'benar', 'dari', 'total', 'dapat', 'rang', 'total', 'keluar', 'ada', 'sisa', 'besar', 'pasak', 'tiang', 'angin', 'bisa', 'tabung', 'dipaksain', 'akhir', 'pinjam', 'online', 'uber', 'nutupi', 'selisih', 'perintah', 'dorong', 'rakyat', 'ambil', 'pinjam', 'online']"
killua__dk,@___luto @piscesmermaid7 @ruditattara @sbyfess Klo misalnya hasil pinjol wah bisa stroke itu,"['kalo', 'misal', 'hasil', 'pinjam', 'online', 'stroke']"
capungnagafly,@__AnakKolong Kenapa pemerintah gak pinjol aja?,"['perintah', 'enggak', 'pinjam', 'online']"
JustKaka04,@__AnakKolong Terlilit pinjol akibat judol yg disalahkan kebijakan KPR utk MBR (masyarakat berpenghasilan rendah). ,"['lilit', 'pinjam', 'online', 'akibat', 'judi', 'online', 'salah', 'bijak', 'kredit', 'milik', 'rumah', 'masyarakat', 'hasil', 'rendah']"
RAbdinyo,@__AnakKolong Wkt covid bnyk pejabat ikutan bisnis vacsin Ada si ini si itu si anu Nah andai pinjol dilegalkan utk bantu mahasiswa baru ..ga tertutup kemungkinan para pejabat ikutan buka aplikasi pinjol ,"['waktu', 'covid', 'banyak', 'jabat', 'ikut', 'bisnis', 'vaksin', 'sih', 'sih', 'sih', 'nah', 'andai', 'pinjam', 'online', 'legal', 'bantu', 'mahasiswa', 'baru', 'enggak', 'tutup', 'mungkin', 'jabat', 'ikut', 'buka', 'aplikasi', 'pinjam', 'online']"
johnhomebapa,@__anomali__ @Juragann_muda2 @ajegilelu1 @Marnischaniago2 @alfatih212426 @Kappa_2023 @AnakBalang_0705 @hlh_kntl @catz_nada2 @Capuchihome @Gue_Dilawan @TiniRahayu21 @HabanglaliK @JhontalJk @Froyo64 @FruitLover2345 @imamDouma @fmn99_gaming @antikadrunmuna @antikadrunbang @ricardo_bobby @anarchyhumanist @Royedy6 @ridho45916919 @NISAMODESTMOON @KatzNada3 @Atheis_Bergitar @anu318725175311 @Uncle__Holland @Yygrko @abu_hurahura @dimas2_P @Valhallaah @dimas1286478285 @Karsono12732862 @eeh_ito @catznada3 @PekanbaruRyu @Greschinove @katz_bornagain @dy04343703 @Amox1L1N @JokoPintar2 @xyz161803zyx @Momonsimomon @DocteurSilver @FajarUmbara_ @Iderjagadd Tambahin. nipu pinjol. Salah² bunuh orang.,"['tambah', 'nipu', 'pinjam', 'online', 'salah', 'bunuh', 'orang']"
Dee06644722,@__whiteenle Lebih baik urusi pinjol yg banyak makan korban.,"['lebih', 'baik', 'urus', 'pinjam', 'online', 'banyak', 'makan', 'korban']"
yoonajah,@_haye_ demi dana pinjol dpr ian,"['dana', 'pinjam', 'online', 'ian']"
uniquelaterrr,@_honeyou Tapi aku gapernah pinjol wee makasih tipsnya yaa bisa juga di samsung ternyata,"['aku', 'enggak', 'pernah', 'pinjam', 'online', 'wee', 'terima', 'kasih', 'tips', 'bisa', 'di', 'nyata']"
cinuamonroll,@_hyeyeonchoi @dstray__ @danawallet @jokowi @kaesangp kenapa nuntut dana.. itu mah dia bloon aja main percaya. masa iya pihak dana nyuruh pinjol? ,"['tuntut', 'dana', 'mah', 'bodoh', 'main', 'percaya', 'masa', 'iya', 'pihak', 'dana', 'nyuruh', 'pinjam', 'online']"
JaehyungieSmile,@_Mellifluousx Kek di tele abis GA jadi akun pinjol asu lah,"['kayak', 'habis', 'enggak', 'jadi', 'akun', 'pinjam', 'online', 'asu', 'lah']"
JaehyungieSmile,@_Mellifluousx LEBIH PARAH DARI PINJOL WKWKW,"['lebih', 'parah', 'pinjam', 'online', 'wkwkw']"
